CPF,Papel_Empresa,Salario,Idade,Tempo_Empresa,Departamento,Localizacao,Avaliacao_Desempenho,Carga_Horaria,Bonus
483.855.773-20,Team Member,11772.38,56,2.1,Marketing,Recife,7.5,35,1955.62
653.352.261-92,Tech Lead,21991.83,41,10.5,TI,Rio de Janeiro,7.8,33,3035.47
957.410.250-47,Team Member,7809.33,56,4.0,Produto,Manaus,2.9,45,689.61
781.658.824-37,Product Manager,15428.49,49,13.8,Produto,Fortaleza,9.4,41,1547.97
530.900.608-29,Tech Lead,17020.59,53,6.9,Vendas,Belo Horizonte,7.6,48,3351.55
238.952.482-20,Tech Lead,17490.54,42,5.5,Vendas,Porto Alegre,4.6,39,2821.9
679.841.219-80,Tech Lead,22013.11,48,7.1,Vendas,Belo Horizonte,2.4,31,3992.04
853.946.974-77,Group Product Manager,20643.5,33,1.7,Vendas,Curitiba,6.3,47,3937.16
127.366.130-93,Group Product Manager,20057.86,26,3.7,Vendas,São Paulo,4.5,40,2917.05
656.854.446-97,Product Manager,16514.37,35,4.1,Produto,Rio de Janeiro,4.6,34,2049.46
989.389.375-87,Team Member,9170.71,59,0.7,TI,Belo Horizonte,2.3,35,1167.54
427.626.841-12,Tech Lead,19306.91,40,13.2,Marketing,Recife,8.3,30,3720.2
851.112.856-33,Product Manager,13099.81,59,7.8,TI,Porto Alegre,10.0,50,1185.39
395.585.258-98,Group Product Manager,21743.44,28,6.8,Marketing,Fortaleza,8.6,39,2058.64
540.461.856-36,Group Product Manager,22990.71,57,8.1,Marketing,Rio de Janeiro,6.8,41,2770.78
548.963.643-99,Group Product Manager,26673.03,53,13.7,TI,Brasília,7.8,30,3497.09
345.723.152-26,Tech Lead,23352.22,45,2.8,Vendas,Brasília,6.2,40,3592.98
933.397.690-87,Team Member,5536.57,57,2.5,Vendas,Fortaleza,9.2,47,632.42
339.147.896-62,Tech Lead,23016.79,59,2.1,Vendas,Rio de Janeiro,8.4,50,2283.63
842.554.308-66,Group Product Manager,30679.97,39,12.4,Vendas,Salvador,6.2,35,5685.06
267.188.940-42,Group Product Manager,34514.29,31,14.3,Produto,São Paulo,1.4,38,3698.18
362.147.498-68,Product Manager,13623.93,46,13.9,Produto,Porto Alegre,2.8,37,1703.02
490.759.241-18,Team Member,7046.73,26,11.4,Marketing,Salvador,9.9,44,371.07
469.345.943-67,Tech Lead,21878.64,22,4.4,Marketing,Belo Horizonte,9.7,37,3811.88
242.296.313-33,Product Manager,12248.98,51,2.9,Vendas,Curitiba,2.8,37,839.62
398.882.905-30,Tech Lead,18385.53,36,8.0,Vendas,Recife,2.7,50,2497.11
820.297.961-72,Tech Lead,21312.93,49,12.8,Produto,Manaus,8.0,48,2463.76
162.649.313-86,Tech Lead,24947.72,58,1.1,Vendas,Curitiba,1.9,39,2007.86
790.731.674-36,Group Product Manager,31737.04,54,6.7,TI,Porto Alegre,1.7,45,5692.3
957.220.814-51,Tech Lead,24004.77,53,12.8,Marketing,Brasília,3.3,35,3651.41
552.564.352-97,Team Member,6115.6,37,7.3,Marketing,São Paulo,2.4,30,517.82
756.419.154-17,Tech Lead,21990.92,51,5.2,Marketing,Rio de Janeiro,8.1,50,2732.04
132.626.532-22,Group Product Manager,30837.89,27,12.3,TI,Fortaleza,9.7,36,6154.57
128.464.780-63,Product Manager,13442.87,43,10.9,Produto,Manaus,7.5,44,1682.99
204.616.509-92,Product Manager,17597.99,22,11.5,TI,Curitiba,8.8,42,2618.53
845.675.873-15,Team Member,6074.48,42,1.5,Produto,Brasília,9.3,49,602.33
849.795.816-30,Group Product Manager,32032.9,31,15.0,Produto,Curitiba,2.8,43,3894.87
684.620.672-33,Tech Lead,18175.17,30,14.0,Produto,Recife,7.8,39,2639.93
791.478.485-82,Tech Lead,17302.01,37,9.8,Vendas,Curitiba,7.1,44,866.07
674.142.201-80,Group Product Manager,31584.43,54,1.6,Marketing,Porto Alegre,8.5,50,5306.9
584.196.363-59,Product Manager,18381.97,47,7.6,Vendas,Recife,5.7,37,1795.37
205.421.878-41,Team Member,9746.08,28,11.2,Marketing,Salvador,7.1,34,1491.12
225.868.816-49,Tech Lead,23497.42,39,13.2,Marketing,Recife,9.2,33,3530.79
676.566.521-38,Team Member,5413.68,39,5.3,Produto,Brasília,2.4,39,676.22
495.289.213-45,Product Manager,14361.73,47,5.0,Vendas,Fortaleza,4.6,32,2443.49
662.389.282-42,Team Member,8810.29,23,6.5,TI,Rio de Janeiro,5.7,43,1528.78
148.789.762-49,Group Product Manager,33144.92,53,4.9,TI,Brasília,2.2,39,5637.84
630.485.910-88,Tech Lead,22001.61,57,4.8,Marketing,Salvador,5.4,40,3078.01
795.803.829-86,Team Member,10433.85,49,12.7,TI,Porto Alegre,6.8,38,2011.35
705.509.406-98,Group Product Manager,30958.48,46,11.4,Produto,Brasília,3.2,50,2423.04
702.120.725-66,Group Product Manager,26465.95,59,14.8,Marketing,Salvador,9.5,37,4593.18
607.806.922-10,Team Member,6131.27,28,13.0,Marketing,Brasília,6.5,38,579.97
598.338.302-14,Team Member,8435.97,37,11.3,TI,Brasília,3.4,49,721.79
266.851.760-71,Tech Lead,17882.47,50,1.3,Vendas,Curitiba,1.0,42,3433.73
228.696.148-55,Group Product Manager,21344.44,46,5.8,Produto,Recife,6.5,44,3422.22
474.270.735-83,Product Manager,12531.46,25,10.2,Produto,Recife,9.5,31,1222.97
722.746.839-50,Group Product Manager,23194.97,22,9.8,Produto,Brasília,3.7,35,3677.46
371.999.390-90,Group Product Manager,27333.36,33,4.6,Marketing,Rio de Janeiro,7.7,31,3799.76
782.842.165-32,Product Manager,15398.92,39,2.5,Produto,Salvador,5.9,49,1406.68
559.565.686-46,Team Member,11492.6,32,1.9,TI,Recife,3.8,45,1570.87
306.311.483-43,Product Manager,17531.4,53,5.5,TI,Belo Horizonte,5.9,42,3088.02
203.943.273-57,Product Manager,18198.99,43,6.4,Vendas,Porto Alegre,1.1,48,1976.19
396.845.732-41,Group Product Manager,23701.14,52,4.4,Vendas,Manaus,9.4,32,4582.94
773.550.222-41,Team Member,10211.36,29,6.7,TI,Belo Horizonte,1.3,40,1962.34
789.989.730-22,Product Manager,15492.24,33,4.8,Vendas,Belo Horizonte,5.6,44,2161.31
980.349.699-16,Group Product Manager,23963.77,27,3.3,Produto,Salvador,8.6,38,3967.49
763.185.312-88,Team Member,7334.75,59,8.6,TI,Salvador,2.7,44,520.86
188.615.685-70,Team Member,10402.57,23,1.3,Vendas,Porto Alegre,3.7,33,1783.45
548.299.802-33,Tech Lead,19133.01,36,10.9,Produto,Brasília,8.6,39,3196.71
645.725.916-87,Team Member,5784.38,59,13.0,Marketing,Brasília,1.3,40,1084.75
983.939.871-79,Tech Lead,21291.17,53,12.0,TI,Fortaleza,9.1,42,4159.64
568.378.743-11,Tech Lead,17779.42,45,5.0,TI,Fortaleza,4.3,40,2275.86
751.609.893-10,Product Manager,16272.23,36,6.6,Marketing,Recife,4.7,46,1436.98
726.907.399-89,Tech Lead,22559.49,32,11.9,Marketing,Recife,1.9,49,3530.45
858.338.502-39,Group Product Manager,21972.68,49,1.4,TI,Recife,2.3,50,2112.34
139.992.148-66,Product Manager,13308.98,51,1.2,Produto,Belo Horizonte,4.8,33,1758.85
584.935.870-42,Team Member,10609.9,58,8.6,Produto,Brasília,7.4,39,1048.77
106.802.350-52,Team Member,8683.13,39,6.1,TI,Rio de Janeiro,7.9,47,1700.28
119.339.552-77,Tech Lead,21396.78,39,3.7,Marketing,Salvador,5.4,34,2059.46
228.795.660-29,Group Product Manager,26566.31,59,13.0,Vendas,Belo Horizonte,1.9,31,4461.71
491.129.865-47,Tech Lead,16544.09,53,5.9,Vendas,Belo Horizonte,7.6,45,2978.93
559.985.648-51,Product Manager,12709.39,36,4.5,TI,Curitiba,8.2,30,1373.0
228.494.413-40,Tech Lead,22763.89,36,6.5,Vendas,Porto Alegre,2.5,50,1393.06
251.115.726-19,Product Manager,19939.28,35,10.4,TI,Fortaleza,6.0,31,2207.5
775.288.110-19,Team Member,10772.61,37,13.5,Produto,Recife,8.4,30,648.54
484.341.614-60,Team Member,8992.21,56,1.4,Produto,São Paulo,6.4,31,1787.71
423.139.460-16,Group Product Manager,25931.12,54,1.5,TI,São Paulo,5.6,48,2139.71
763.788.517-20,Group Product Manager,24462.7,43,4.6,Produto,Rio de Janeiro,9.5,44,3129.24
379.182.449-31,Tech Lead,23481.71,32,12.8,Produto,Rio de Janeiro,6.5,44,3574.14
149.911.446-80,Team Member,6007.77,54,14.0,Produto,Belo Horizonte,1.8,38,1012.48
284.172.304-18,Product Manager,19435.37,26,2.3,Marketing,São Paulo,2.3,40,3700.26
132.225.591-33,Product Manager,13677.02,24,3.7,Vendas,Rio de Janeiro,8.6,36,988.74
957.126.830-88,Group Product Manager,34918.78,55,9.1,TI,Curitiba,4.7,48,3739.68
843.166.512-20,Product Manager,14304.93,33,6.3,Vendas,Salvador,5.6,31,1536.03
929.766.240-95,Team Member,11240.15,50,1.2,Marketing,Fortaleza,7.9,36,1053.11
950.111.115-48,Product Manager,14286.34,49,1.4,Vendas,Brasília,6.1,31,2631.0
248.360.464-39,Product Manager,19410.19,28,7.3,Marketing,Belo Horizonte,1.3,44,3438.84
670.594.382-81,Product Manager,13382.14,44,5.5,Marketing,Brasília,7.0,45,2281.4
141.857.298-17,Tech Lead,19929.44,33,9.5,Produto,Recife,7.9,44,1237.33
475.186.231-22,Product Manager,19518.67,59,2.2,Produto,Rio de Janeiro,5.7,48,3901.19
139.328.940-54,Product Manager,18621.07,41,8.7,Vendas,Recife,3.9,35,1745.01
873.463.104-38,Tech Lead,24522.45,31,11.5,Produto,Brasília,8.0,37,3730.82
278.409.677-44,Tech Lead,18984.99,52,7.2,Vendas,Rio de Janeiro,4.9,31,3021.46
862.752.183-50,Group Product Manager,25783.09,32,5.0,TI,Manaus,9.0,34,4609.32
505.255.186-61,Team Member,7613.07,41,10.6,TI,Belo Horizonte,1.8,36,896.8
137.258.469-89,Group Product Manager,27378.72,23,5.0,Produto,Rio de Janeiro,3.4,37,2158.33
881.385.854-32,Product Manager,19926.19,29,10.1,TI,Curitiba,2.5,30,3637.46
126.560.787-66,Product Manager,18084.45,40,0.6,Produto,São Paulo,1.7,39,2131.26
774.158.151-21,Tech Lead,24066.57,47,13.8,Produto,Porto Alegre,4.5,30,1511.58
809.330.781-48,Product Manager,17765.44,30,4.3,TI,Brasília,5.5,44,2147.33
204.612.386-11,Product Manager,15652.9,32,6.4,Produto,Fortaleza,2.0,43,2839.07
848.993.166-46,Team Member,11730.42,51,10.6,Vendas,Recife,1.3,48,1213.81
932.764.344-84,Team Member,10777.63,33,3.4,Marketing,Salvador,5.7,47,1025.45
553.847.496-54,Tech Lead,20553.32,23,2.7,Vendas,Brasília,1.1,50,2164.69
292.416.490-91,Group Product Manager,34638.16,59,10.2,TI,Rio de Janeiro,5.1,38,4917.39
692.617.157-18,Team Member,6310.88,25,14.9,Produto,Porto Alegre,7.1,50,746.28
704.522.855-41,Team Member,6363.26,26,12.4,Vendas,Brasília,9.8,32,1066.52
312.917.483-30,Group Product Manager,33601.51,57,4.4,Produto,Curitiba,6.1,43,2145.15
774.539.247-66,Team Member,9929.94,60,12.6,Produto,São Paulo,3.8,33,774.28
668.669.348-95,Product Manager,14689.62,29,1.2,TI,São Paulo,8.5,31,875.65
880.433.277-23,Group Product Manager,33428.59,47,1.4,TI,Fortaleza,6.8,39,2071.26
643.269.846-68,Group Product Manager,20544.16,28,1.7,Marketing,Fortaleza,4.5,30,2438.45
268.754.106-78,Product Manager,16097.54,41,7.0,Produto,São Paulo,8.6,45,1734.39
726.817.312-19,Group Product Manager,25898.28,33,0.9,Produto,Curitiba,6.8,48,4057.86
327.151.768-15,Group Product Manager,21675.16,53,14.5,Marketing,São Paulo,8.2,45,3031.69
257.311.920-96,Group Product Manager,27507.72,54,8.0,Marketing,Belo Horizonte,5.6,47,3514.34
111.590.225-59,Product Manager,13716.71,29,12.0,Marketing,Salvador,6.1,34,1119.59
526.584.127-88,Tech Lead,21368.07,38,11.5,Produto,Belo Horizonte,3.3,30,2371.86
657.338.428-20,Team Member,6310.98,59,2.6,Produto,São Paulo,2.7,44,1119.39
892.885.988-56,Group Product Manager,24608.13,27,7.1,Vendas,Curitiba,1.1,49,1704.29
941.861.386-13,Team Member,8986.94,53,12.7,Marketing,Curitiba,4.5,36,1525.6
828.207.752-51,Team Member,5829.65,29,12.9,Produto,Rio de Janeiro,4.6,30,321.51
455.875.395-55,Group Product Manager,33125.14,39,12.5,Produto,Rio de Janeiro,6.5,43,3783.31
278.546.394-87,Tech Lead,17217.96,56,12.4,TI,Recife,8.7,34,1712.9
683.664.469-85,Group Product Manager,24417.83,24,1.0,Vendas,Fortaleza,8.1,30,1433.06
743.779.947-54,Tech Lead,17974.02,52,3.4,Produto,Belo Horizonte,7.0,48,2667.31
347.755.999-23,Team Member,8317.67,51,13.0,Vendas,Porto Alegre,7.3,50,1550.52
490.417.627-97,Product Manager,12484.67,23,10.5,Produto,Recife,6.7,34,945.45
822.142.662-74,Tech Lead,22034.07,57,10.6,Produto,São Paulo,6.9,43,1144.26
578.612.119-87,Product Manager,19415.7,42,9.6,Produto,Curitiba,9.8,43,2722.98
953.356.213-71,Tech Lead,23042.02,26,7.1,Produto,São Paulo,8.9,47,1386.79
662.999.935-32,Tech Lead,17416.25,60,8.1,Produto,Manaus,7.3,41,2655.2
421.686.818-78,Tech Lead,20027.1,46,7.0,Vendas,Recife,3.2,34,3046.68
269.349.680-67,Product Manager,15976.74,28,11.4,Produto,Belo Horizonte,4.1,39,1587.72
225.375.809-14,Tech Lead,19215.52,57,13.7,TI,Porto Alegre,3.2,44,1498.71
463.838.175-54,Tech Lead,20187.23,33,11.7,TI,Curitiba,1.1,49,1970.05
463.401.132-41,Product Manager,17850.52,54,11.6,Vendas,Manaus,8.9,33,1127.53
499.879.542-74,Group Product Manager,23023.59,59,14.0,Vendas,Brasília,5.9,31,2410.01
238.150.245-14,Product Manager,15582.8,51,8.2,Vendas,Brasília,2.0,37,1370.21
827.194.170-23,Team Member,6264.0,34,3.3,Vendas,Fortaleza,5.9,42,362.19
110.192.924-26,Team Member,11421.28,49,5.2,TI,Porto Alegre,1.2,45,1411.74
601.167.570-11,Tech Lead,15069.23,41,12.4,TI,São Paulo,2.9,43,1867.66
487.838.237-91,Team Member,5740.03,49,12.3,Produto,Belo Horizonte,7.3,36,399.97
954.129.812-86,Group Product Manager,34329.17,23,14.3,Vendas,Salvador,7.4,49,4559.82
756.636.236-22,Team Member,5651.11,59,14.3,Marketing,São Paulo,9.5,37,428.75
960.353.384-27,Tech Lead,17551.05,52,6.8,Vendas,Fortaleza,3.4,49,3008.28
585.244.599-91,Group Product Manager,25334.85,33,7.6,Produto,São Paulo,3.5,43,2911.0
214.714.409-88,Product Manager,19396.68,36,4.1,Produto,Fortaleza,2.1,34,2158.95
316.232.683-97,Tech Lead,22350.7,45,9.5,Produto,Fortaleza,2.9,37,3293.81
828.477.259-63,Team Member,6698.29,31,0.6,Vendas,Porto Alegre,9.5,42,1102.68
576.765.748-78,Team Member,7309.86,44,10.5,Vendas,Manaus,4.3,39,1020.87
179.848.131-53,Tech Lead,20223.69,58,12.5,Produto,Manaus,7.0,39,2336.23
900.944.199-98,Team Member,9841.3,24,5.6,Vendas,Salvador,1.8,37,948.59
335.836.168-84,Team Member,5392.12,42,3.4,Vendas,Fortaleza,4.4,34,520.94
591.459.424-91,Product Manager,12669.31,36,8.3,Marketing,Brasília,4.3,33,2505.87
388.577.888-87,Tech Lead,15391.69,50,5.5,TI,Recife,4.3,43,2603.12
848.860.510-19,Team Member,5873.11,23,2.9,Produto,Fortaleza,9.4,50,979.71
657.222.116-41,Product Manager,14333.89,55,12.1,Vendas,Porto Alegre,8.5,47,2859.77
285.838.970-11,Team Member,6363.2,32,11.8,Vendas,Recife,9.8,32,632.66
896.160.456-45,Group Product Manager,23875.29,25,5.8,Produto,Manaus,9.2,42,3929.38
956.173.227-98,Team Member,10622.03,51,8.2,Marketing,Salvador,2.0,39,943.27
782.962.223-89,Product Manager,19524.04,57,8.4,Marketing,São Paulo,8.1,40,2402.56
955.868.749-14,Team Member,6099.28,43,9.2,Produto,Porto Alegre,5.3,41,564.94
910.286.596-75,Group Product Manager,21745.71,44,5.7,TI,Salvador,3.7,37,3910.21
385.341.885-88,Product Manager,16779.72,25,6.0,Vendas,Belo Horizonte,6.5,45,2277.25
404.681.815-54,Product Manager,13079.76,55,10.4,TI,São Paulo,7.9,40,1675.89
569.916.112-16,Team Member,11301.96,60,1.5,Vendas,Recife,2.4,47,1115.15
571.422.661-89,Group Product Manager,32329.13,55,10.4,Marketing,Porto Alegre,9.6,48,2825.65
467.498.497-83,Team Member,10312.75,59,1.9,TI,Recife,7.7,37,809.15
667.723.533-43,Group Product Manager,21581.99,48,5.4,Vendas,Rio de Janeiro,5.4,40,2254.46
531.178.146-41,Team Member,8620.71,45,1.7,Produto,Brasília,7.7,37,1239.72
291.282.466-37,Group Product Manager,21980.34,43,9.7,TI,Brasília,6.5,31,2911.42
865.109.870-70,Group Product Manager,20424.19,44,11.9,Produto,Fortaleza,9.5,43,4027.12
675.948.815-77,Tech Lead,18349.67,31,8.7,Vendas,Porto Alegre,8.7,30,1539.56
553.934.915-37,Group Product Manager,24159.28,38,11.7,Marketing,São Paulo,7.5,37,4610.64
541.298.664-86,Product Manager,12123.03,47,13.2,TI,Porto Alegre,7.6,42,1828.09
859.750.274-84,Tech Lead,17889.54,24,2.4,Vendas,Rio de Janeiro,5.0,43,1794.42
105.338.488-37,Product Manager,18737.5,45,1.1,Marketing,São Paulo,9.0,33,2646.17
568.505.526-78,Product Manager,19706.94,40,7.0,Produto,São Paulo,3.6,30,1504.56
773.824.319-17,Team Member,7104.34,43,13.8,TI,Brasília,5.5,31,439.72
643.757.965-58,Product Manager,18288.9,54,14.7,Vendas,Salvador,8.5,34,3343.79
729.284.737-23,Product Manager,14221.77,32,4.7,Vendas,Recife,2.7,33,1326.72
265.182.956-50,Team Member,11048.79,54,7.7,Produto,Porto Alegre,7.7,49,846.01
414.389.783-43,Team Member,9522.23,42,9.6,TI,Manaus,5.9,45,1236.04
831.262.544-81,Product Manager,13606.9,44,9.2,Marketing,Fortaleza,3.4,33,915.74
193.146.786-66,Tech Lead,15727.25,48,13.9,TI,Fortaleza,5.5,38,950.45
116.347.627-91,Team Member,7307.94,36,12.9,TI,São Paulo,1.4,46,830.84
109.978.390-57,Tech Lead,15214.73,32,11.2,Vendas,São Paulo,6.0,33,1059.67
879.851.702-99,Product Manager,18367.17,42,10.8,TI,Porto Alegre,2.3,49,2780.25
373.764.111-40,Team Member,5585.7,52,6.4,Produto,São Paulo,5.6,50,782.6
197.148.283-64,Group Product Manager,27413.37,55,5.0,Marketing,Manaus,6.5,50,2212.92
727.862.490-68,Product Manager,12443.62,41,2.3,Marketing,Curitiba,4.4,47,2141.29
450.165.600-93,Product Manager,13891.82,41,5.5,Marketing,Brasília,9.0,34,1328.9
278.310.694-62,Product Manager,17993.99,24,13.9,Produto,São Paulo,3.2,31,2510.25
136.243.147-82,Product Manager,13915.13,54,14.2,Marketing,Manaus,5.7,38,1879.58
648.547.576-60,Product Manager,13253.58,34,4.2,TI,Salvador,6.3,46,817.15
447.941.518-68,Group Product Manager,23488.3,50,14.7,Marketing,Salvador,9.5,46,2494.06
106.541.166-44,Product Manager,16302.36,42,2.7,TI,Manaus,2.4,46,3245.23
724.871.766-36,Team Member,5341.15,31,8.7,Marketing,Brasília,1.9,35,384.56
559.315.969-98,Team Member,9250.76,43,4.2,Marketing,Curitiba,7.8,35,1240.21
914.700.212-27,Tech Lead,22033.29,46,10.8,Marketing,Fortaleza,1.3,35,2802.47
732.664.988-72,Tech Lead,21954.54,40,9.3,Produto,Porto Alegre,9.8,36,3474.98
964.517.110-10,Tech Lead,17895.06,56,12.0,Vendas,Salvador,7.5,46,2202.2
805.868.629-17,Tech Lead,22669.08,30,3.5,TI,Belo Horizonte,1.9,32,1912.99
193.506.642-70,Product Manager,16261.61,58,12.4,Marketing,São Paulo,7.8,31,2623.22
114.983.418-19,Team Member,11606.95,50,9.7,Produto,Salvador,5.3,37,1313.69
776.253.983-17,Team Member,7042.29,42,7.5,Marketing,Fortaleza,9.4,47,1370.2
271.720.981-25,Tech Lead,20722.68,53,3.0,Produto,Salvador,7.5,33,3099.44
862.393.530-70,Product Manager,12741.0,48,14.1,Produto,São Paulo,7.4,31,838.23
641.341.718-20,Product Manager,18573.09,43,9.8,TI,São Paulo,2.8,36,3142.59
395.772.679-86,Group Product Manager,27046.2,35,9.4,Marketing,Fortaleza,1.6,43,4582.32
508.918.825-65,Tech Lead,17493.54,39,0.7,Marketing,Fortaleza,1.6,50,2660.57
279.443.104-68,Team Member,5609.11,59,9.2,TI,Brasília,3.4,34,485.24
447.685.224-17,Team Member,11354.91,39,13.8,Vendas,Porto Alegre,8.0,40,1164.94
961.393.709-30,Product Manager,17745.12,57,3.5,Vendas,Manaus,4.8,44,3452.76
488.937.968-79,Tech Lead,21129.15,57,5.7,Marketing,Recife,7.4,37,1134.65
519.705.690-67,Group Product Manager,28925.81,34,7.6,Vendas,Fortaleza,2.5,48,4391.07
122.504.160-88,Team Member,5411.59,33,8.9,Produto,Rio de Janeiro,2.7,40,580.33
495.108.505-22,Tech Lead,15150.16,57,8.3,Vendas,Porto Alegre,6.9,45,857.33
923.518.155-75,Product Manager,14902.27,42,8.7,Vendas,Rio de Janeiro,2.0,32,1281.94
527.708.939-17,Product Manager,14989.73,51,7.3,Produto,Fortaleza,7.4,33,1086.24
449.658.553-55,Tech Lead,22847.49,35,11.1,Vendas,Recife,5.4,33,3965.69
167.100.654-17,Team Member,8934.94,25,10.3,Vendas,Manaus,5.0,40,1195.95
881.971.381-78,Tech Lead,15561.26,48,6.1,Marketing,Fortaleza,9.2,32,818.75
