cpf,sexo,curso,salario_5_anos,estado,cidade,trabalha_na_area,tipo_empresa
128,Masculino,Engenharia Civil,3596.81,RN,Recife,Sim,Empreendedor
129,Feminino,Engenharia Civil,3652.41,CE,Caruaru,Sim,Pública
130,Feminino,Direito,2738.09,AL,Vitória,Sim,Empreendedor
131,Feminino,Pedagogia,5814.63,RN,Recife,Não,Pública
132,Masculino,Direito,4391.41,RN,Recife,Sim,Privada
133,Masculino,Pedagogia,4126.17,AL,Caruaru,Sim,Pública
134,Masculino,Enfermagem,4424.35,PE,Caruaru,Não,Privada
135,Masculino,Pedagogia,2687.25,PB,Recife,Não,Pública
136,Masculino,Direito,4617.17,PB,Recife,Sim,Empreendedor
137,Masculino,Enfermagem,5367.06,RN,Olinda,Sim,Privada
138,Masculino,Administração,1843.16,AL,Limoeiro,Não,Pública
139,Masculino,Engenharia Civil,4149.88,CE,Caruaru,Não,Empreendedor
140,Masculino,Direito,3575.35,RN,Caruaru,Não,Pública
141,Feminino,Direito,2876.98,PB,Olinda,Sim,Pública
142,Masculino,Direito,2188.09,RN,Vitória,Não,Pública
143,Feminino,Enfermagem,4762.3,AL,Vitória,Sim,Privada
144,Feminino,Administração,3749.59,CE,Vitória,Sim,Privada
145,Feminino,Pedagogia,3251.44,PE,Caruaru,Sim,Empreendedor
146,Masculino,Administração,4150.86,CE,Limoeiro,Não,Pública
147,Masculino,Enfermagem,3347.02,RN,Limoeiro,Não,Pública
148,Masculino,Direito,2655.11,PB,Olinda,Não,Privada
149,Masculino,Engenharia Civil,3654.74,AL,Vitória,Não,Privada
150,Feminino,Direito,3466.39,RN,Vitória,Sim,Pública
151,Masculino,Pedagogia,1370.97,PE,Recife,Sim,Pública
152,Masculino,Engenharia Civil,2744.52,AL,Olinda,Não,Pública
153,Masculino,Direito,1982.73,AL,Olinda,Sim,Privada
154,Masculino,Engenharia Civil,1518.32,AL,Caruaru,Não,Pública
155,Masculino,Administração,4061.24,RN,Caruaru,Sim,Pública
156,Feminino,Enfermagem,2697.48,PE,Olinda,Sim,Privada
157,Masculino,Direito,4749.69,RN,Limoeiro,Não,Privada
158,Feminino,Pedagogia,1305.68,AL,Olinda,Sim,Privada
159,Masculino,Administração,3142.7,AL,Limoeiro,Sim,Privada
160,Feminino,Direito,2760.89,PB,Caruaru,Sim,Pública
161,Masculino,Administração,1606.44,CE,Olinda,Não,Privada
162,Masculino,Pedagogia,3506.1,RN,Limoeiro,Sim,Privada
163,Feminino,Direito,1711.2,PE,Recife,Sim,Pública
164,Feminino,Pedagogia,3767.26,AL,Recife,Sim,Empreendedor
165,Feminino,Engenharia Civil,4364.91,RN,Olinda,Não,Pública
166,Masculino,Pedagogia,3821.06,CE,Vitória,Sim,Pública
167,Feminino,Engenharia Civil,3972.66,RN,Olinda,Não,Pública
168,Masculino,Direito,4737.48,CE,Caruaru,Não,Pública
169,Masculino,Engenharia Civil,3467.88,RN,Caruaru,Sim,Pública
170,Feminino,Direito,2508.77,PB,Recife,Sim,Pública
171,Feminino,Direito,2769.26,RN,Limoeiro,Sim,Pública
172,Masculino,Enfermagem,2795.15,PB,Recife,Sim,Empreendedor
173,Masculino,Direito,2247.99,CE,Limoeiro,Sim,Pública
174,Feminino,Engenharia Civil,4441.05,AL,Olinda,Sim,Pública
175,Feminino,Enfermagem,4132.28,AL,Vitória,Não,Pública
176,Feminino,Enfermagem,1502.0,RN,Caruaru,Sim,Pública
177,Masculino,Direito,2508.41,PE,Olinda,Sim,Pública
178,Masculino,Pedagogia,2189.62,RN,Recife,Não,Empreendedor
179,Masculino,Pedagogia,3880.82,PB,Olinda,Sim,Privada
180,Masculino,Enfermagem,4791.81,PB,Vitória,Sim,Privada
181,Masculino,Direito,4037.82,CE,Limoeiro,Não,Pública
182,Masculino,Pedagogia,2658.57,RN,Vitória,Não,Empreendedor
183,Feminino,Direito,3117.23,CE,Recife,Sim,Empreendedor
184,Masculino,Direito,1828.58,PE,Vitória,Não,Empreendedor
185,Masculino,Enfermagem,1920.6,AL,Caruaru,Não,Privada
186,Masculino,Enfermagem,4515.26,AL,Vitória,Não,Privada
187,Feminino,Administração,5232.93,RN,Olinda,Não,Empreendedor
188,Masculino,Pedagogia,2642.28,CE,Limoeiro,Sim,Privada
189,Masculino,Pedagogia,3557.74,CE,Caruaru,Não,Privada
190,Feminino,Pedagogia,4364.63,PE,Caruaru,Sim,Pública
191,Masculino,Engenharia Civil,1503.39,CE,Caruaru,Sim,Pública
192,Masculino,Direito,2241.58,PB,Recife,Não,Pública
193,Masculino,Enfermagem,5892.36,PB,Recife,Sim,Empreendedor
194,Masculino,Pedagogia,2350.74,PB,Olinda,Não,Pública
195,Masculino,Administração,3065.8,RN,Limoeiro,Não,Empreendedor
196,Feminino,Pedagogia,2776.48,PB,Vitória,Não,Pública
197,Feminino,Direito,1106.26,PB,Olinda,Não,Empreendedor
198,Feminino,Direito,3599.27,AL,Recife,Sim,Privada
199,Masculino,Enfermagem,3469.7,RN,Olinda,Sim,Empreendedor
200,Masculino,Engenharia Civil,3717.02,PB,Limoeiro,Não,Privada
201,Masculino,Enfermagem,3398.51,PE,Olinda,Não,Pública
202,Feminino,Pedagogia,2948.17,PB,Caruaru,Sim,Privada
203,Masculino,Administração,2879.27,RN,Vitória,Sim,Privada
204,Masculino,Enfermagem,2899.79,CE,Recife,Não,Pública
205,Feminino,Engenharia Civil,2313.57,AL,Recife,Não,Empreendedor
206,Masculino,Enfermagem,2499.43,AL,Limoeiro,Não,Empreendedor
207,Feminino,Direito,2333.7,RN,Limoeiro,Sim,Empreendedor
208,Feminino,Pedagogia,4188.09,PB,Limoeiro,Não,Pública
209,Feminino,Pedagogia,3867.32,PE,Recife,Não,Empreendedor
210,Masculino,Pedagogia,3532.56,PB,Caruaru,Sim,Privada
211,Masculino,Pedagogia,5830.72,PB,Vitória,Não,Pública
212,Masculino,Pedagogia,2389.17,PE,Limoeiro,Não,Empreendedor
213,Masculino,Pedagogia,4842.53,AL,Recife,Sim,Privada
214,Masculino,Administração,3187.96,PB,Caruaru,Sim,Privada
215,Masculino,Engenharia Civil,3688.6,CE,Limoeiro,Sim,Empreendedor
216,Masculino,Pedagogia,4305.36,CE,Limoeiro,Sim,Pública
217,Feminino,Engenharia Civil,2926.96,RN,Vitória,Não,Privada
218,Masculino,Pedagogia,2231.96,RN,Vitória,Sim,Privada
219,Feminino,Enfermagem,2429.87,PE,Olinda,Sim,Privada
220,Masculino,Pedagogia,972.46,PE,Limoeiro,Não,Privada
221,Masculino,Direito,4228.16,RN,Olinda,Sim,Empreendedor
222,Masculino,Administração,4199.29,PB,Recife,Sim,Pública
223,Feminino,Enfermagem,5400.38,AL,Vitória,Sim,Privada
224,Feminino,Enfermagem,3997.91,CE,Caruaru,Não,Privada
225,Feminino,Direito,4286.27,PE,Limoeiro,Sim,Privada
226,Feminino,Pedagogia,3402.14,RN,Limoeiro,Não,Pública
227,Masculino,Administração,4057.86,CE,Olinda,Sim,Privada
228,Feminino,Enfermagem,4807.51,PE,Vitória,Não,Pública
229,Masculino,Administração,3717.77,PE,Olinda,Não,Pública
230,Masculino,Enfermagem,2874.52,PB,Limoeiro,Sim,Pública
231,Feminino,Pedagogia,3235.73,PE,Vitória,Não,Pública
232,Feminino,Enfermagem,4402.24,AL,Limoeiro,Sim,Empreendedor
233,Feminino,Enfermagem,2910.48,PE,Vitória,Sim,Empreendedor
234,Feminino,Engenharia Civil,4566.88,AL,Limoeiro,Não,Empreendedor
235,Feminino,Pedagogia,5790.32,PB,Caruaru,Não,Privada
236,Feminino,Direito,4581.75,AL,Olinda,Não,Pública
237,Feminino,Direito,4396.56,CE,Vitória,Não,Pública
238,Feminino,Pedagogia,3917.16,PE,Olinda,Não,Empreendedor
239,Masculino,Direito,2567.76,RN,Vitória,Não,Empreendedor
240,Feminino,Pedagogia,2458.9,RN,Vitória,Não,Pública
241,Feminino,Direito,2446.85,AL,Vitória,Não,Empreendedor
242,Masculino,Engenharia Civil,4165.68,PB,Limoeiro,Sim,Privada
243,Feminino,Direito,3032.64,AL,Recife,Sim,Privada
244,Masculino,Enfermagem,3465.21,AL,Limoeiro,Não,Privada
245,Masculino,Pedagogia,4002.39,AL,Recife,Não,Pública
246,Feminino,Administração,2491.49,CE,Limoeiro,Sim,Empreendedor
247,Masculino,Administração,2897.69,CE,Recife,Não,Privada
248,Masculino,Pedagogia,3887.46,AL,Vitória,Não,Privada
249,Masculino,Engenharia Civil,3150.98,PB,Vitória,Não,Privada
250,Masculino,Direito,3263.06,PE,Recife,Sim,Privada
251,Feminino,Engenharia Civil,2260.81,RN,Recife,Sim,Privada
252,Masculino,Administração,3279.31,CE,Olinda,Sim,Empreendedor
253,Feminino,Pedagogia,5482.6,PE,Vitória,Sim,Privada
254,Masculino,Pedagogia,2964.38,CE,Limoeiro,Não,Privada
255,Masculino,Engenharia Civil,2123.59,CE,Olinda,Não,Privada
256,Masculino,Engenharia Civil,4649.76,CE,Recife,Sim,Pública
257,Masculino,Direito,4128.03,AL,Limoeiro,Sim,Empreendedor
258,Feminino,Enfermagem,3755.14,AL,Caruaru,Sim,Privada
259,Feminino,Enfermagem,1917.63,CE,Caruaru,Não,Empreendedor
260,Masculino,Direito,2088.06,CE,Caruaru,Sim,Privada
261,Masculino,Enfermagem,1655.22,RN,Limoeiro,Sim,Pública
262,Feminino,Administração,4017.84,PE,Recife,Não,Pública
263,Masculino,Enfermagem,4723.84,PE,Limoeiro,Não,Pública
264,Masculino,Direito,4058.32,PB,Olinda,Sim,Pública
265,Masculino,Enfermagem,5839.88,PB,Olinda,Sim,Privada
266,Feminino,Pedagogia,2969.72,PB,Caruaru,Não,Empreendedor
267,Feminino,Engenharia Civil,3111.6,AL,Recife,Não,Privada
268,Feminino,Administração,3627.87,AL,Olinda,Sim,Pública
269,Masculino,Pedagogia,3224.6,RN,Vitória,Não,Pública
270,Masculino,Pedagogia,4098.45,AL,Vitória,Sim,Privada
271,Feminino,Direito,2732.45,PB,Caruaru,Sim,Privada
272,Feminino,Engenharia Civil,1826.33,CE,Caruaru,Não,Empreendedor
273,Feminino,Engenharia Civil,1352.79,PB,Caruaru,Sim,Empreendedor
274,Feminino,Administração,4076.62,RN,Olinda,Não,Empreendedor
275,Masculino,Direito,2868.91,CE,Recife,Não,Empreendedor
276,Feminino,Administração,2096.55,AL,Caruaru,Sim,Pública
277,Masculino,Enfermagem,2757.13,CE,Limoeiro,Não,Pública
278,Feminino,Pedagogia,5843.04,RN,Caruaru,Não,Empreendedor
279,Masculino,Administração,2166.93,AL,Olinda,Sim,Empreendedor
280,Feminino,Pedagogia,4372.63,PE,Recife,Sim,Pública
281,Feminino,Direito,4005.31,PB,Caruaru,Não,Pública
282,Feminino,Enfermagem,5109.72,PB,Vitória,Sim,Pública
283,Feminino,Direito,3352.29,RN,Caruaru,Sim,Empreendedor
284,Masculino,Enfermagem,1627.59,RN,Caruaru,Não,Empreendedor
285,Feminino,Enfermagem,4691.05,PB,Recife,Não,Pública
286,Masculino,Pedagogia,3200.21,CE,Limoeiro,Sim,Pública
287,Masculino,Direito,5029.36,PE,Caruaru,Não,Privada
288,Masculino,Direito,4479.16,PE,Caruaru,Sim,Privada
289,Masculino,Administração,4695.04,RN,Olinda,Sim,Pública
290,Feminino,Direito,6342.18,RN,Recife,Sim,Pública
291,Masculino,Administração,3838.4,CE,Olinda,Sim,Privada
292,Masculino,Engenharia Civil,5231.43,RN,Caruaru,Não,Empreendedor
293,Masculino,Engenharia Civil,3014.19,PE,Caruaru,Não,Pública
294,Feminino,Engenharia Civil,4148.85,PB,Vitória,Não,Pública
295,Feminino,Direito,2897.28,PE,Olinda,Não,Pública
296,Feminino,Direito,4075.09,CE,Recife,Não,Empreendedor
297,Feminino,Administração,3949.77,PB,Caruaru,Sim,Privada
298,Masculino,Enfermagem,1027.32,PB,Vitória,Sim,Empreendedor
299,Masculino,Administração,2765.93,PE,Vitória,Sim,Empreendedor
300,Feminino,Engenharia Civil,3776.38,PB,Limoeiro,Não,Pública
301,Masculino,Administração,791.13,PB,Recife,Sim,Pública
302,Masculino,Enfermagem,3384.99,RN,Vitória,Não,Privada
303,Masculino,Direito,4710.16,PB,Recife,Não,Empreendedor
304,Feminino,Administração,5060.3,CE,Caruaru,Sim,Privada
305,Feminino,Engenharia Civil,2561.07,PB,Limoeiro,Sim,Empreendedor
306,Masculino,Engenharia Civil,5137.29,RN,Recife,Não,Pública
307,Feminino,Direito,4949.74,AL,Limoeiro,Não,Privada
308,Feminino,Administração,922.53,AL,Recife,Sim,Empreendedor
309,Feminino,Enfermagem,3638.95,CE,Recife,Não,Pública
310,Feminino,Direito,3771.72,CE,Olinda,Sim,Pública
311,Feminino,Administração,5322.55,PB,Limoeiro,Sim,Empreendedor
312,Masculino,Pedagogia,3843.66,PB,Recife,Não,Pública
313,Feminino,Engenharia Civil,5172.48,AL,Olinda,Sim,Empreendedor
314,Masculino,Enfermagem,2563.06,AL,Olinda,Não,Empreendedor
315,Masculino,Enfermagem,1582.34,PE,Limoeiro,Não,Empreendedor
316,Feminino,Enfermagem,2722.59,AL,Caruaru,Sim,Empreendedor
317,Masculino,Engenharia Civil,5392.39,AL,Limoeiro,Sim,Pública
318,Masculino,Administração,4611.1,CE,Recife,Não,Empreendedor
319,Masculino,Direito,6286.95,PE,Caruaru,Sim,Empreendedor
320,Feminino,Administração,1768.0,PE,Limoeiro,Não,Empreendedor
321,Feminino,Direito,4749.59,PB,Limoeiro,Não,Pública
322,Masculino,Enfermagem,4405.84,PB,Limoeiro,Sim,Privada
323,Feminino,Administração,3157.62,PE,Limoeiro,Sim,Empreendedor
324,Feminino,Enfermagem,4431.11,PE,Caruaru,Sim,Privada
325,Feminino,Pedagogia,3667.96,PB,Recife,Sim,Privada
326,Feminino,Enfermagem,4052.37,CE,Olinda,Sim,Empreendedor
327,Masculino,Enfermagem,4316.66,CE,Limoeiro,Sim,Privada
328,Masculino,Direito,4676.13,CE,Olinda,Não,Privada
329,Feminino,Pedagogia,3604.17,CE,Olinda,Não,Empreendedor
330,Feminino,Enfermagem,5632.8,PB,Olinda,Não,Pública
331,Masculino,Enfermagem,3241.13,RN,Limoeiro,Sim,Privada
332,Masculino,Pedagogia,5760.51,AL,Limoeiro,Sim,Empreendedor
333,Feminino,Pedagogia,2146.59,AL,Limoeiro,Sim,Empreendedor
334,Masculino,Administração,2317.93,AL,Limoeiro,Não,Privada
335,Feminino,Direito,2388.19,AL,Vitória,Sim,Privada
336,Feminino,Pedagogia,4648.23,PB,Recife,Sim,Privada
337,Masculino,Pedagogia,2533.45,RN,Vitória,Sim,Empreendedor
338,Masculino,Engenharia Civil,5288.15,PB,Caruaru,Não,Empreendedor
339,Feminino,Pedagogia,2868.23,RN,Vitória,Não,Pública
340,Feminino,Direito,3979.14,PB,Vitória,Não,Pública
341,Masculino,Enfermagem,4268.11,PE,Vitória,Sim,Empreendedor
342,Feminino,Enfermagem,2281.11,RN,Recife,Sim,Pública
343,Masculino,Enfermagem,1831.07,AL,Olinda,Não,Privada
344,Feminino,Enfermagem,3839.46,RN,Caruaru,Não,Pública
345,Masculino,Engenharia Civil,3167.31,CE,Caruaru,Não,Pública
346,Masculino,Pedagogia,4098.14,RN,Recife,Sim,Empreendedor
347,Masculino,Enfermagem,1885.21,CE,Vitória,Sim,Empreendedor
348,Feminino,Administração,3071.89,CE,Olinda,Não,Privada
349,Feminino,Enfermagem,3281.79,PE,Limoeiro,Não,Pública
350,Masculino,Pedagogia,575.04,RN,Recife,Sim,Empreendedor
351,Feminino,Enfermagem,4694.55,PE,Olinda,Não,Empreendedor
352,Masculino,Engenharia Civil,2591.07,AL,Recife,Não,Empreendedor
353,Masculino,Direito,5298.99,RN,Recife,Não,Privada
354,Feminino,Direito,2668.6,PB,Limoeiro,Não,Privada
355,Feminino,Pedagogia,2874.41,PB,Olinda,Sim,Pública
356,Masculino,Direito,2009.71,PB,Vitória,Sim,Privada
357,Feminino,Direito,4875.94,CE,Olinda,Sim,Pública
358,Feminino,Administração,4044.99,PB,Olinda,Não,Pública
359,Masculino,Pedagogia,5180.16,AL,Vitória,Não,Pública
360,Masculino,Pedagogia,3251.18,RN,Limoeiro,Sim,Empreendedor
361,Feminino,Direito,3449.94,RN,Olinda,Não,Empreendedor
362,Masculino,Direito,1481.58,CE,Vitória,Sim,Empreendedor
363,Masculino,Direito,2751.15,CE,Recife,Não,Privada
364,Feminino,Engenharia Civil,3704.6,CE,Recife,Não,Empreendedor
365,Masculino,Enfermagem,3964.64,AL,Vitória,Não,Pública
366,Masculino,Engenharia Civil,5688.72,RN,Recife,Sim,Privada
367,Feminino,Pedagogia,1278.86,PE,Olinda,Sim,Privada
368,Feminino,Administração,3775.35,CE,Vitória,Não,Empreendedor
369,Masculino,Enfermagem,3048.52,PB,Olinda,Não,Empreendedor
370,Masculino,Administração,3590.6,PE,Caruaru,Sim,Empreendedor
371,Feminino,Pedagogia,3623.26,PE,Limoeiro,Sim,Empreendedor
372,Feminino,Pedagogia,3270.58,CE,Limoeiro,Sim,Privada
373,Feminino,Administração,2140.27,PB,Limoeiro,Não,Privada
374,Feminino,Administração,1917.47,CE,Vitória,Sim,Pública
375,Masculino,Administração,3182.11,CE,Caruaru,Não,Privada
376,Feminino,Pedagogia,1795.26,PB,Limoeiro,Sim,Privada
377,Feminino,Direito,3364.51,PE,Olinda,Não,Empreendedor
378,Masculino,Administração,3195.96,PE,Limoeiro,Sim,Pública
379,Feminino,Enfermagem,559.96,PB,Caruaru,Sim,Privada
380,Masculino,Pedagogia,5820.34,PE,Olinda,Sim,Empreendedor
381,Feminino,Engenharia Civil,3592.71,AL,Olinda,Sim,Empreendedor
382,Feminino,Engenharia Civil,575.13,CE,Vitória,Sim,Pública
383,Feminino,Enfermagem,3796.56,AL,Vitória,Sim,Privada
384,Masculino,Direito,3255.93,AL,Recife,Sim,Privada
385,Masculino,Administração,1918.68,AL,Caruaru,Não,Privada
386,Feminino,Pedagogia,3871.16,RN,Olinda,Não,Privada
387,Masculino,Administração,2369.42,RN,Caruaru,Não,Pública
388,Masculino,Pedagogia,3731.64,AL,Limoeiro,Sim,Empreendedor
389,Masculino,Engenharia Civil,2658.19,CE,Limoeiro,Não,Empreendedor
390,Masculino,Administração,2413.31,AL,Recife,Não,Pública
391,Masculino,Enfermagem,3481.36,AL,Olinda,Não,Privada
392,Masculino,Direito,1553.49,RN,Olinda,Sim,Empreendedor
393,Feminino,Enfermagem,3400.96,AL,Recife,Sim,Privada
394,Feminino,Direito,4288.7,CE,Limoeiro,Sim,Empreendedor
395,Masculino,Administração,5024.73,CE,Olinda,Sim,Privada
396,Feminino,Administração,4806.28,AL,Caruaru,Sim,Pública
397,Feminino,Direito,5124.0,CE,Olinda,Não,Privada
